,lat,lon,ele,start,end,network
MRL01,-54.5166,158.917,238.0,2021-04-21T00:56:39.000000Z,2021-06-19T21:05:44.680000Z,3F
MRL02,-54.5625,158.9,131.0,2021-05-07T00:58:13.000000Z,2022-02-15T03:23:04.920000Z,3F
MRL03,-54.6167,158.896,141.0,2021-05-27T03:32:39.000000Z,2021-07-23T10:19:35.930000Z,3F
MRL04,-54.6624,158.871,154.0,2021-06-01T01:09:44.000000Z,2021-07-23T15:03:31.890000Z,3F
MRL05,-54.7126,158.833,251.0,2021-06-13T03:04:52.000000Z,2021-08-04T18:26:59.690000Z,3F
MRO01,-54.0875,159.3706,-4996.0,2020-10-08T07:35:11.000000Z,2021-06-14T08:57:19.990000Z,3F
MRO03,-54.3235,159.1728,-3635.0,2020-10-16T02:28:58.980000Z,2021-11-18T00:00:00.860000Z,3F
MRO06,-54.4054,158.8484,-520.0,2020-10-29T01:25:58.960000Z,2021-11-17T04:59:00.980000Z,3F
MRO07,-54.2759,158.7031,-3006.0,2020-10-29T05:33:59.000000Z,2021-11-17T20:35:59.720000Z,3F
MRO10,-54.7411,159.1672,-5363.0,2020-10-24T00:14:40.000000Z,2021-10-25T05:33:55.990000Z,3F
MRO11,-54.9659,158.6439,-896.0,2020-10-26T01:28:59.000000Z,2021-11-16T21:28:01.820000Z,3F
MRO12,-55.0369,158.8531,-2425.0,2020-10-26T06:03:58.960000Z,2021-11-26T00:43:00.980000Z,3F
MRO13,-55.1308,158.8697,-3764.0,2020-10-20T00:27:59.000000Z,2021-11-26T03:57:01.000000Z,3F
MRO16,-55.2433,159.1772,-5104.0,2020-10-22T23:59:59.000000Z,2021-11-12T00:00:00.990000Z,3F
MRO18,-55.1968,158.1893,-4435.0,2020-10-29T14:08:03.000000Z,2021-02-22T17:46:54.990000Z,3F
MRO20,-55.3335,158.5508,-2386.0,2020-10-22T06:19:59.000000Z,2021-11-16T03:30:02.240000Z,3F
MRO22,-54.0956,158.5276,-3966.0,2020-10-30T05:22:59.000000Z,2021-02-27T15:16:03.720000Z,3F
MRO23,-54.8108,158.6844,-975.0,2020-10-18T01:52:58.980000Z,2021-11-16T23:38:00.640000Z,3F
MRO24,-54.6606,158.709,-884.0,2020-10-18T04:41:59.000000Z,2021-11-17T01:58:01.000000Z,3F
MRO27,-55.0767,159.2017,-5517.0,2020-10-23T17:28:39.000000Z,2021-10-17T23:21:08.990000Z,3F
